stemmer,word,idf
paiceHusk,raspberry,6.212858
paiceHusk,pi,5.622275
paiceHusk,uss,6.808892
paiceHusk,carl,4.828356
paiceHusk,vinson,8.425620
paiceHusk,reviews,2.031682
paiceHusk,of,0.250613
paiceHusk,les,4.700058
paiceHusk,miserables,5.906081
paiceHusk,rules,2.620173
paiceHusk,golf,3.648311
paiceHusk,average,2.888571
paiceHusk,charitable,5.462340
paiceHusk,donation,3.228114
paiceHusk,wind,3.529450
paiceHusk,power,1.508002
paiceHusk,bph,8.448408
paiceHusk,treatment,2.982202
paiceHusk,doctor,3.442769
paiceHusk,zhivago,9.885030
paiceHusk,land,3.005985
paiceHusk,surveyor,3.600702
paiceHusk,gps,4.799868
paiceHusk,what,1.194190
paiceHusk,is,0.533081
paiceHusk,madagascar,5.092012
paiceHusk,known,2.920564
paiceHusk,for,0.343452
paiceHusk,home,0.610877
paiceHusk,theater,3.612832
paiceHusk,systems,1.995443
paiceHusk,carpal,5.380168
paiceHusk,tunnel,5.383954
paiceHusk,syndrome,5.246896
paiceHusk,capital,3.570517
paiceHusk,gains,3.586628
paiceHusk,tax,3.339425
paiceHusk,rate,2.698595
paiceHusk,maryland,3.890666
paiceHusk,department,2.781306
paiceHusk,natural,2.393232
paiceHusk,resources,1.735145
paiceHusk,nicolas,6.211631
paiceHusk,cage,5.324245
paiceHusk,movies,2.665876
paiceHusk,kids,2.920050
paiceHusk,earth,3.418604
paiceHusk,day,1.575992
paiceHusk,activities,1.310085
paiceHusk,solar,4.345269
paiceHusk,water,2.630315
paiceHusk,fountains,5.276012
paiceHusk,was,1.397887
paiceHusk,the,0.227034
paiceHusk,name,1.495630
paiceHusk,elvis,5.643184
paiceHusk,presley,7.030682
paiceHusk,s,0.448648
paiceHusk,nba,5.060608
paiceHusk,records,2.614783
paiceHusk,electoral,2.844787
paiceHusk,college,2.841854
paiceHusk,results,2.184502
paiceHusk,2008,1.988047
paiceHusk,male,3.747602
paiceHusk,menopause,6.373451
paiceHusk,usda,4.400732
paiceHusk,food,2.346038
paiceHusk,pyramid,5.770560
paiceHusk,making,2.452387
paiceHusk,chicken,4.095330
paiceHusk,soup,4.827035
paiceHusk,from,0.695757
paiceHusk,scratch,4.809980
paiceHusk,black,2.502567
paiceHusk,and,0.266988
paiceHusk,gold,2.868111
paiceHusk,traverse,6.167340
paiceHusk,city,2.051055
paiceHusk,i,0.867824
paiceHusk,will,1.084364
paiceHusk,survive,3.787103
paiceHusk,lyrics,4.542947
paiceHusk,hawaiian,5.909900
paiceHusk,volcano,6.122425
paiceHusk,observatories,3.760874
paiceHusk,beef,5.162865
paiceHusk,stroganoff,9.255256
paiceHusk,recipe,3.671745
paiceHusk,world,1.534578
paiceHusk,biggest,4.074841
paiceHusk,dog,3.447052
paiceHusk,are,0.672605
paiceHusk,seven,3.634791
paiceHusk,deadly,3.321778
paiceHusk,sins,5.822433
paiceHusk,hurricane,5.109918
paiceHusk,irene,3.120118
paiceHusk,flooding,4.717335
paiceHusk,in,0.255158
paiceHusk,manville,9.139839
paiceHusk,nj,4.528919
paiceHusk,hair,3.384533
paiceHusk,dye,6.090481
paiceHusk,dark,3.134725
paiceHusk,chocolate,4.154604
paiceHusk,health,2.103062
paiceHusk,benefits,2.736458
paiceHusk,ham,5.700892
paiceHusk,radio,3.187735
paiceHusk,symptoms,4.700254
paiceHusk,mad,3.348980
paiceHusk,cow,5.470818
paiceHusk,disease,3.777393
paiceHusk,humans,2.674332
paiceHusk,lump,5.629407
paiceHusk,throat,5.283402
paiceHusk,george,2.915884
paiceHusk,bush,4.475671
paiceHusk,sr,4.819765
paiceHusk,bio,4.368300
paiceHusk,frank,4.143060
paiceHusk,lloyd,5.553217
paiceHusk,wright,5.103660
paiceHusk,biography,4.392224
paiceHusk,presidential,3.181800
paiceHusk,middle,3.232675
paiceHusk,names,1.495630
paiceHusk,a,0.251930
paiceHusk,wiki,4.295275
paiceHusk,cannellini,10.024336
paiceHusk,beans,4.773966
paiceHusk,afghanistan,4.469486
paiceHusk,flag,3.958856
paiceHusk,old,2.110833
paiceHusk,town,3.112785
paiceHusk,scottsdale,6.198549
paiceHusk,roosevelt,6.197187
paiceHusk,island,2.921123
paiceHusk,civil,3.461752
paiceHusk,war,3.298744
paiceHusk,battles,3.739326
paiceHusk,south,2.494615
paiceHusk,carolina,3.493381
paiceHusk,rain,3.796537
paiceHusk,man,2.665574
paiceHusk,eggs,3.964555
paiceHusk,shelf,5.192302
paiceHusk,life,1.811043
paiceHusk,occupational,4.410973
paiceHusk,therapist,5.544623
paiceHusk,ford,4.475881
paiceHusk,edge,3.547551
paiceHusk,problems,2.482177
paiceHusk,identifying,3.579312
