stemmer,word,stem,count
paiceHusk,raspberry,raspberry,12
paiceHusk,pi,pi,1
paiceHusk,uss,uss,101
paiceHusk,carl,carl,176
paiceHusk,vinson,vinson,7
paiceHusk,reviews,review,90
paiceHusk,of,of,284
paiceHusk,les,les,1
paiceHusk,miserables,miser,113
paiceHusk,rules,rule,45
paiceHusk,golf,golf,76
paiceHusk,average,av,954
paiceHusk,charitable,charit,65
paiceHusk,donation,donat,108
paiceHusk,windsor,wind,199
paiceHusk,power,power,175
paiceHusk,bph,bph,1
paiceHusk,treatment,treat,134
paiceHusk,doctor,doct,177
paiceHusk,zhivago,zhivago,6
paiceHusk,land,land,200
paiceHusk,surveyor,survey,52
paiceHusk,gps,gps,1
paiceHusk,what,what,170
paiceHusk,is,is,419
paiceHusk,madagascar,madagasc,16
paiceHusk,known,known,25
paiceHusk,for,for,1
paiceHusk,home,home,117
paiceHusk,theater,theat,177
paiceHusk,systems,system,196
paiceHusk,carpenter,carp,145
paiceHusk,tunnel,tunnel,41
paiceHusk,syndrome,syndrom,35
paiceHusk,capital,capit,222
paiceHusk,gains,gain,74
paiceHusk,tax,tax,1
paiceHusk,rate,rate,51
paiceHusk,maryland,maryland,32
paiceHusk,department,depart,127
paiceHusk,natural,natur,273
paiceHusk,resources,resourc,58
paiceHusk,nicolas,nicola,27
paiceHusk,cage,cage,24
paiceHusk,movies,movy,136
paiceHusk,kids,kids,47
paiceHusk,earth,earth,109
paiceHusk,day,day,1
paiceHusk,activities,act,795
paiceHusk,solar,solar,100
paiceHusk,water,water,129
paiceHusk,fountains,fountain,23
paiceHusk,was,was,1
paiceHusk,the,the,1
paiceHusk,names,name,88
paiceHusk,elvis,elv,174
paiceHusk,presley,presley,6
paiceHusk,s,s,1
paiceHusk,nba,nba,1
paiceHusk,records,record,144
paiceHusk,electoral,elect,404
paiceHusk,college,colleg,118
paiceHusk,results,result,118
paiceHusk,male,male,94
paiceHusk,menopause,menopau,20
paiceHusk,usda,usd,63
paiceHusk,foods,food,126
paiceHusk,pyramid,pyramid,52
paiceHusk,making,making,21
paiceHusk,chicken,chick,131
paiceHusk,soup,soup,62
paiceHusk,from,from,176
paiceHusk,scratch,scratch,37
paiceHusk,black,black,197
paiceHusk,and,and,588
paiceHusk,gold,gold,212
paiceHusk,traverse,traver,48
paiceHusk,city,city,110
paiceHusk,i,i,1
paiceHusk,will,will,237
paiceHusk,survive,surv,188
paiceHusk,lyrics,lyric,82
paiceHusk,hawaiian,haway,63
paiceHusk,volcano,volcano,12
paiceHusk,observatories,observ,176
paiceHusk,beef,beef,57
paiceHusk,stroganoff,stroganoff,4
paiceHusk,recipe,recip,82
paiceHusk,world,world,131
paiceHusk,biggest,biggest,16
paiceHusk,dog,dog,1
paiceHusk,are,ar,1473
paiceHusk,seven,seven,84
paiceHusk,deadly,dead,157
paiceHusk,sins,sins,67
paiceHusk,hurricane,hurr,102
paiceHusk,irene,ir,759
paiceHusk,flooding,flood,46
paiceHusk,in,in,1659
paiceHusk,manville,manvil,8
paiceHusk,nj,nj,1
paiceHusk,hair,hair,79
paiceHusk,dye,dye,1
paiceHusk,dark,dark,198
paiceHusk,chocolate,chocol,148
paiceHusk,health,heal,95
paiceHusk,benefits,benefit,76
paiceHusk,ham,ham,1
paiceHusk,radio,radio,76
paiceHusk,symptoms,symptom,54
paiceHusk,mad,mad,1
paiceHusk,cow,cow,1
paiceHusk,disease,disea,42
paiceHusk,humans,human,191
paiceHusk,lump,lump,62
paiceHusk,throat,thro,62
paiceHusk,george,georg,172
paiceHusk,bush,bush,87
paiceHusk,sr,sr,1
paiceHusk,bio,bio,1
paiceHusk,frank,frank,134
paiceHusk,lloyd,lloyd,33
paiceHusk,wright,wright,43
paiceHusk,biography,biograph,45
paiceHusk,presidential,presid,139
paiceHusk,middle,middl,63
paiceHusk,a,a,1
paiceHusk,wiki,wiki,4
paiceHusk,cannellini,cannellin,3
paiceHusk,beans,bean,89
paiceHusk,afghanistan,afgh,64
paiceHusk,flag,flag,113
paiceHusk,old,old,186
paiceHusk,town,town,70
paiceHusk,scottsdale,scottsd,26
